,ChEMBL ID,Name,Synonyms,Type,Max Phase,Molecular Weight,Targets,Bioactivities,AlogP,Polar Surface Area,HBA,HBD,#RO5 Violations,#Rotatable Bonds,Passes Ro3,QED Weighted,CX Acidic pKa,CX Basic pKa,CX LogP,CX LogD,Aromatic Rings,Structure Type,Inorganic Flag,Heavy Atoms,HBA (Lipinski),HBD (Lipinski),#RO5 Violations (Lipinski),Molecular Weight (Monoisotopic),Molecular Species,Molecular Formula,h_smiles,ch3_smiles
289,CHEMBL71962,,,Small molecule,0.0,96.09,2.0,4.0,0.58,54.61,2,0,0,0,Y,0.41,8.79,None,0.05,0.04,0,MOL,-1.0,7,4,0,0,96.0436,NEUTRAL,C3H4N4,N#[N+]C1N=CC[N-]1,N#[N+]C(C)1N=CC[N-]1
292,CHEMBL722,PROPYNAL,Propiolaldehyde,Small molecule,0.0,54.05,3.0,8.0,-0.18,17.07,1,0,0,0,Y,0.28,None,None,0.02,0.02,0,MOL,-1.0,4,1,0,0,54.0106,NEUTRAL,C3H2O,C#CC=O,CC#CC=O
293,CHEMBL1375444,AZEPANE,Azepane,Small molecule,0.0,99.18,6.0,8.0,1.15,12.03,1,1,0,0,Y,0.48,None,10.66,1.10,-1.85,0,MOL,-1.0,7,1,1,0,99.1048,BASE,C6H13N,C1CCCNCC1,CC1CCCNCC1
294,CHEMBL98364,,,Small molecule,0.0,88.09,1.0,1.0,-0.10,24.06,2,2,0,0,Y,0.40,None,None,0.17,0.17,0,MOL,-1.0,6,2,2,0,88.0437,NEUTRAL,C3H5FN2,FC1NC=CN1,C(F)C1NC=CN1
295,CHEMBL452927,,Beta-Hydroxybutrolactone,Small molecule,0.0,86.09,1.0,1.0,0.32,26.30,2,0,0,0,Y,0.40,None,None,0.28,0.28,0,MOL,-1.0,6,2,0,0,86.0368,NEUTRAL,C4H6O2,C[C@H]1CC(=O)O1,CC[C@H]1CC(=O)O1
298,CHEMBL1233056,THIOGLYCIN,Thioglycine,Small molecule,0.0,91.14,4.0,27.0,-0.60,43.09,2,2,0,1,Y,0.42,-1.25,9.47,-0.61,-0.61,0,MOL,-1.0,5,2,2,0,91.0092,ZWITTERION,C2H5NOS,NCC(=O)S,C(N)CC(=O)S
299,CHEMBL260876,THIOUREA,Thiourea,Small molecule,0.0,76.12,18.0,78.0,-0.81,52.04,1,2,0,0,Y,0.37,None,None,-0.47,-0.47,0,MOL,-1.0,4,2,4,0,76.0095,NEUTRAL,CH4N2S,NC(N)=S,C(N)C(N)=S
300,CHEMBL58562,,But-2-enoic acid amide,Small molecule,0.0,85.11,2.0,2.0,0.05,43.09,1,1,0,1,Y,0.45,None,None,0.11,0.11,0,MOL,-1.0,6,2,2,0,85.0528,NEUTRAL,C4H7NO,C/C=C/C(N)=O,CC/C=C/C(N)=O
302,CHEMBL4297433,METHANESULFONYL FLUORIDE,METHANESULFONYL FLUORIDE|SNX-001,Small molecule,1.0,98.1,,,-0.08,34.14,2,0,0,0,Y,0.40,None,None,-0.48,-0.48,0,MOL,0.0,5,2,0,0,97.9838,None,CH3FO2S,CS(=O)(=O)F,CCS(=O)(=O)F
304,CHEMBL3185899,,,Small molecule,0.0,81.12,,,1.48,23.79,1,0,0,1,Y,0.44,None,None,1.59,1.59,0,MOL,-1.0,6,1,0,0,81.0578,None,C5H7N,CC/C=C\C#N,CCC/C=C\C#N
305,CHEMBL162921,,,Small molecule,0.0,60.1,,,-0.66,24.06,2,2,0,1,Y,0.39,None,6.08,-0.59,-0.61,0,MOL,-1.0,4,2,2,0,60.0687,NEUTRAL,C2H8N2,CNNC,CCNNC
306,CHEMBL1235716,PROPIONAMIDE,,Small molecule,0.0,73.09,1.0,2.0,-0.12,43.09,1,1,0,1,Y,0.46,None,None,-0.33,-0.33,0,MOL,-1.0,5,2,2,0,73.0528,NEUTRAL,C3H7NO,CCC(N)=O,CCCC(N)=O
308,CHEMBL160548,,3-Phosphanyl-Propylamine,Small molecule,0.0,91.09,1.0,6.0,0.21,26.02,1,1,0,2,Y,0.48,None,10.20,-0.95,-3.66,0,MOL,-1.0,5,1,2,0,91.0551,BASE,C3H10NP,NCCCP,C(N)CCCP
309,CHEMBL330591,,,Small molecule,0.0,84.12,1.0,1.0,0.00,24.06,2,2,0,0,Y,0.43,None,5.74,-0.32,-0.32,0,MOL,-1.0,6,2,2,0,84.0687,NEUTRAL,C4H8N2,CC1NC=CN1,CCC1NC=CN1
311,CHEMBL18602,PENTANAL,Pentanal,Small molecule,0.0,86.13,17.0,20.0,1.38,17.07,1,0,0,3,Y,0.37,None,None,1.21,1.21,0,MOL,-1.0,6,1,0,0,86.0732,NEUTRAL,C5H10O,CCCCC=O,CCCCCC=O
313,CHEMBL350303,,,Small molecule,0.0,88.15,,,0.12,24.06,2,2,0,3,Y,0.38,None,6.34,0.13,0.09,0,MOL,-1.0,6,2,2,0,88.1,NEUTRAL,C4H12N2,CCNNCC,CCCNNCC
314,CHEMBL1743219,OXIRANE,Ethylene Oxide,Small molecule,0.0,44.05,2.0,4.0,0.02,12.53,1,0,0,0,Y,0.35,None,None,-0.05,-0.05,0,MOL,-1.0,3,1,0,0,44.0262,NEUTRAL,C2H4O,C1CO1,CC1CO1
318,CHEMBL48339,BROMOMETHANE,Bromomethane,Small molecule,0.0,94.94,18.0,49.0,1.01,0.00,0,0,0,0,Y,0.39,None,None,1.02,1.02,0,MOL,-1.0,2,0,0,0,93.9418,None,CH3Br,CBr,CCBr
319,CHEMBL3183775,,,Small molecule,0.0,57.1,,,-0.02,21.94,1,1,0,0,Y,0.39,None,7.95,0.05,-0.60,0,MOL,-1.0,4,1,1,0,57.0578,NEUTRAL,C3H7N,CC1CN1,CCC1CN1
322,CHEMBL47100,3-PENTANOL,3-Pentanol|Pentan-3-ol,Small molecule,0.0,88.15,2.0,4.0,1.17,20.23,1,1,0,2,Y,0.54,None,None,1.30,1.30,0,MOL,-1.0,6,1,1,0,88.0888,NEUTRAL,C5H12O,CCC(O)CC,CCCC(O)CC
323,CHEMBL3558855,,,Small molecule,0.0,74.88,,,None,None,None,None,None,None,None,None,None,None,None,None,None,MOL,-1.0,None,None,None,None,75.0492,None,CH6BNO2,NCB(O)O,C(N)CB(O)O
324,CHEMBL3188826,,,Small molecule,0.0,66.1,,,1.50,0.00,0,0,0,0,Y,0.40,None,None,1.50,1.50,0,MOL,-1.0,5,0,0,0,66.047,NEUTRAL,C5H6,C1=CCC=C1,CC1=CCC=C1
326,CHEMBL555486,,N-Tert-Butylhydroxylamine,Small molecule,0.0,89.14,1.0,3.0,0.76,32.26,2,2,0,0,Y,0.43,None,5.20,0.54,0.53,0,MOL,-1.0,6,2,2,0,89.0841,NEUTRAL,C4H11NO,CC(C)(C)NO,CCC(C)(C)NO
327,CHEMBL3185203,,,Small molecule,0.0,86.09,,,0.65,37.30,1,1,0,1,Y,0.48,4.71,None,0.92,-1.71,0,MOL,-1.0,6,2,1,0,86.0368,ACID,C4H6O2,CC=CC(=O)O,CCC=CC(=O)O
329,CHEMBL1478334,BUTANAL,,Small molecule,0.0,72.11,12.0,19.0,0.99,17.07,1,0,0,2,Y,0.44,None,None,0.76,0.76,0,MOL,-1.0,5,1,0,0,72.0575,NEUTRAL,C4H8O,CCCC=O,CCCCC=O
330,CHEMBL1530150,GLYCIDOL,,Small molecule,0.0,74.08,6.0,545.0,-0.62,32.76,2,1,0,1,Y,0.42,None,None,-0.68,-0.68,0,MOL,-1.0,5,2,1,0,74.0368,NEUTRAL,C3H6O2,OCC1CO1,C(O)CC1CO1
332,CHEMBL453716,DIOXANE,"1,4-Dioxane",Small molecule,0.0,88.11,2.0,3.0,0.03,18.46,2,0,0,0,Y,0.42,None,None,-0.09,-0.09,0,MOL,-1.0,6,2,0,0,88.0524,NEUTRAL,C4H8O2,C1COCCO1,CC1COCCO1
334,CHEMBL1580503,,,Small molecule,0.0,86.13,3.0,3.0,1.19,9.23,1,0,0,0,Y,0.43,None,None,0.95,0.95,0,MOL,-1.0,6,1,0,0,86.0732,NEUTRAL,C5H10O,CC1CCCO1,CCC1CCCO1
335,CHEMBL477368,,,Small molecule,0.0,84.08,1.0,1.0,-0.49,54.46,3,1,0,0,Y,0.46,5.19,None,-0.65,-2.16,1,MOL,-1.0,6,4,1,0,84.0436,ACID,C2H4N4,Cc1nnn[nH]1,CCc1nnn[nH]1
337,CHEMBL125278,CARBAMIC ACID,Carbamic Acid,Small molecule,0.0,61.04,1.0,1.0,-0.38,63.32,1,2,0,0,N,0.40,3.92,None,-0.56,-3.76,0,MOL,-1.0,4,3,3,0,61.0164,ACID,CH3NO2,NC(=O)O,C(N)C(=O)O
338,CHEMBL42003,ISOAMYLAMINE,3-Methyl-Butylamine,Small molecule,0.0,87.17,1.0,1.0,0.99,26.02,1,1,0,2,Y,0.53,None,10.20,0.99,-1.61,0,MOL,-1.0,6,1,2,0,87.1048,BASE,C5H13N,CC(C)CCN,CCC(C)CCN
340,CHEMBL1361129,,,Small molecule,0.0,94.54,6.0,7.0,0.61,20.23,1,1,0,1,Y,0.47,None,None,0.56,0.56,0,MOL,-1.0,5,1,1,0,94.0185,NEUTRAL,C3H7ClO,CC(O)CCl,CCC(O)CCl
341,CHEMBL46486,TETRAMETHYLAMMONIUM ION,Tetramethyl-Ammonium,Small molecule,0.0,74.15,5.0,5.0,0.32,0.00,0,0,0,0,Y,0.36,None,None,-3.97,-3.97,0,MOL,-1.0,5,1,0,0,74.0964,None,C4H12N+,C[N+](C)(C)C,CC[N+](C)(C)C
342,CHEMBL3181847,,,Small molecule,0.0,87.12,,,1.25,32.59,2,1,0,1,Y,0.29,11.66,3.23,0.82,0.82,0,MOL,-1.0,6,2,1,0,87.0684,NEUTRAL,C4H9NO,CCC(C)=NO,CCCC(C)=NO
343,CHEMBL1229081,,,Small molecule,0.0,88.11,,,-1.18,69.11,2,2,0,2,N,0.45,None,9.12,-1.72,-3.43,0,MOL,-1.0,6,3,4,0,88.0637,BASE,C3H8N2O,NCCC(N)=O,C(N)CCC(N)=O
344,CHEMBL2107054,SODIUM ACETATE C 11,SODIUM ACETATE C 11,Small molecule,0.0,81.03,,,None,None,None,None,None,None,None,None,None,None,None,None,None,MOL,0.0,None,None,None,None,82.0031,None,C2H3NaO2,C[11C](=O)[O-].[Na+],CC[11C](=O)[O-].[Na+]
346,CHEMBL505614,,NSC-20115,Small molecule,0.0,97.08,2.0,2.0,-0.38,58.64,3,1,0,1,Y,0.49,7.56,None,0.28,0.06,1,MOL,-1.0,7,4,1,0,97.0276,NEUTRAL,C3H3N3O,O=Cc1c[nH]nn1,O=C(C)c1c[nH]nn1
348,CHEMBL3184082,,,Small molecule,0.0,88.11,,,0.57,26.30,2,0,0,2,Y,0.46,None,None,0.65,0.65,0,MOL,-1.0,6,2,0,0,88.0524,None,C4H8O2,CC(C)OC=O,CCC(C)OC=O
349,CHEMBL3186090,,,Small molecule,0.0,95.11,,,-0.38,59.61,3,1,0,2,Y,0.38,None,1.24,-1.12,-1.12,0,MOL,-1.0,7,3,1,0,95.0483,NEUTRAL,C4H5N3,N#CCNCC#N,N#CC(C)NCC#N
350,CHEMBL3561140,,,Small molecule,0.0,86.13,,,0.94,20.23,1,1,0,2,Y,0.50,None,None,0.74,0.74,0,MOL,-1.0,6,1,1,0,86.0732,NEUTRAL,C5H10O,C=C(C)CCO,CC=C(C)CCO
351,CHEMBL3222024,,,Small molecule,0.0,74.15,2.0,3.0,1.10,0.00,1,1,0,1,Y,0.35,10.00,None,1.46,1.46,0,MOL,-1.0,4,0,0,0,74.019,NEUTRAL,C3H6S,C=CCS,CC=CCS
352,CHEMBL2105883,VINYL ETHER,VINYL ETHER,Small molecule,0.0,70.09,,,1.29,9.23,1,0,0,2,Y,0.44,None,None,1.13,1.13,0,MOL,0.0,5,1,0,0,70.0419,None,C4H6O,C=COC=C,CC=COC=C
353,CHEMBL2228570,,,Small molecule,0.0,98.14,17.0,87.0,1.54,17.07,1,0,0,3,Y,0.39,None,None,1.65,1.65,0,MOL,-1.0,7,1,0,0,98.0732,NEUTRAL,C6H10O,CCC/C=C/C=O,CCCC/C=C/C=O
354,CHEMBL278882,,Methanesulfinyl-Ethane,Small molecule,0.0,92.16,2.0,2.0,0.38,17.07,1,0,0,1,Y,0.46,None,None,-0.90,-0.90,0,MOL,-1.0,5,1,0,0,92.0296,None,C3H8OS,CC[S+](C)[O-],CCC[S+](C)[O-]
355,CHEMBL1231861,DIMETHYLKETONE CYANOHYDRIN,,Small molecule,0.0,85.11,2.0,9.0,0.28,44.02,2,1,0,0,Y,0.43,12.76,None,0.02,0.02,0,MOL,-1.0,6,2,1,0,85.0528,NEUTRAL,C4H7NO,CC(C)(O)C#N,CCC(C)(O)C#N
360,CHEMBL290007,,,Small molecule,0.0,96.13,3.0,4.0,1.30,17.07,1,0,0,0,Y,0.44,None,None,1.28,1.28,0,MOL,-1.0,7,1,0,0,96.0575,NEUTRAL,C6H8O,CC1=CC(=O)CC1,CCC1=CC(=O)CC1
361,CHEMBL4597923,,,,0.0,69.11,,,-0.03,26.02,1,1,0,0,Y,0.40,None,8.92,0.44,-1.08,0,MOL,-1.0,5,1,2,0,69.0578,BASE,C4H7N,CC#CCN,CCC#CCN
362,CHEMBL162694,,3-Methoxy-Propyne,Small molecule,0.0,70.09,2.0,6.0,0.27,9.23,1,0,0,1,Y,0.40,None,None,0.35,0.35,0,MOL,-1.0,5,1,0,0,70.0419,NEUTRAL,C4H6O,C#CCOC,CC#CCOC
363,CHEMBL3185046,,,Small molecule,0.0,81.12,,,1.48,23.79,1,0,0,1,Y,0.44,None,None,1.59,1.59,0,MOL,-1.0,6,1,0,0,81.0578,None,C5H7N,CCC=CC#N,CCCC=CC#N
364,CHEMBL3182034,,,Small molecule,0.0,82.15,,,2.14,0.00,0,0,0,2,Y,0.45,None,None,2.47,2.47,0,MOL,-1.0,6,0,0,0,82.0783,None,C6H10,C=CC/C=C/C,CC=CC/C=C/C
366,CHEMBL2009606,,,Small molecule,0.0,89.14,,,-1.33,50.08,3,3,0,2,Y,0.37,None,6.56,-0.64,-0.70,0,MOL,-1.0,6,3,4,0,89.0953,NEUTRAL,C3H11N3,CNC(N)NC,CCNC(N)NC
367,CHEMBL3187514,,,Small molecule,0.0,66.06,,,0.42,47.58,2,0,0,0,Y,0.41,9.39,None,-0.22,-0.22,0,MOL,-1.0,5,2,0,0,66.0218,NEUTRAL,C3H2N2,N#CCC#N,N#CC(C)C#N
368,CHEMBL1619936,,,Small molecule,0.0,88.15,,,0.25,38.05,2,2,0,3,Y,0.29,None,5.82,0.51,0.50,0,MOL,-1.0,6,2,3,0,88.1,NEUTRAL,C4H12N2,CCCCNN,CCCCCNN
372,CHEMBL2171713,AZETIDINE,Azetidine,Small molecule,0.0,57.1,2.0,3.0,-0.02,12.03,1,1,0,0,Y,0.41,None,10.77,-0.30,-3.30,0,MOL,-1.0,4,1,1,0,57.0578,BASE,C3H7N,C1CNC1,CC1CNC1
375,CHEMBL1183173,,,Small molecule,0.0,93.17,,,0.38,17.07,1,0,0,0,Y,0.40,None,None,-2.52,-2.52,0,MOL,-1.0,5,1,0,0,93.0369,None,C3H9OS+,C[S+](C)(C)=O,CC[S+](C)(C)=O
376,CHEMBL325493,,"1,1-Difluoro-Ethane",Small molecule,0.0,66.05,1.0,1.0,1.27,0.00,0,0,0,0,Y,0.40,None,None,0.65,0.65,0,MOL,-1.0,4,0,0,0,66.0281,None,C2H4F2,CC(F)F,CCC(F)F
379,CHEMBL45345,,Pentan-2-one,Small molecule,0.0,86.13,2.0,2.0,1.38,17.07,1,0,0,2,Y,0.50,None,None,1.25,1.25,0,MOL,-1.0,6,1,0,0,86.0732,NEUTRAL,C5H10O,CCCC(C)=O,CCCCC(C)=O
380,CHEMBL405641,METHYLNITRAMIDE,Methylnitramide,Small molecule,0.0,76.06,1.0,2.0,-0.60,55.17,2,1,0,1,Y,0.33,10.14,None,-0.55,-0.55,0,MOL,-1.0,5,4,1,0,76.0273,NEUTRAL,CH4N2O2,CN[N+](=O)[O-],CCN[N+](=O)[O-]
382,CHEMBL4085512,,,Small molecule,0.0,84.12,1.0,1.0,1.15,17.07,1,0,0,2,Y,0.36,None,None,1.21,1.21,0,MOL,-1.0,6,1,0,0,84.0575,NEUTRAL,C5H8O,C=C(C=O)CC,CC=C(C=O)CC
383,CHEMBL3971228,,,Small molecule,0.0,63.06,1.0,1.0,None,None,None,None,None,None,None,None,None,None,None,None,None,MOL,-1.0,None,None,None,None,63.032,None,CH5NO2,N.O=CO,N.O=C(O)C
384,CHEMBL2227836,PHOSPHINE,,Small molecule,0.0,34.0,4.0,69.0,0.06,0.00,0,0,0,0,Y,0.33,None,None,-0.68,-0.68,0,MOL,-1.0,1,0,0,0,33.9972,None,H3P,P,CP
385,CHEMBL1319459,,,Small molecule,0.0,74.13,2.0,2.0,-0.71,52.04,2,2,0,1,Y,0.43,None,9.83,-1.01,-3.52,0,MOL,-1.0,5,2,4,0,74.0844,BASE,C3H10N2,CC(N)CN,CCC(N)CN
386,CHEMBL4092222,,,Small molecule,0.0,98.14,2.0,2.0,1.54,17.07,1,0,0,3,Y,0.49,None,None,2.01,2.01,0,MOL,-1.0,7,1,0,0,98.0732,NEUTRAL,C6H10O,C=CC(=O)CCC,CC=CC(=O)CCC
387,CHEMBL721,ACROLEIN,Aerolein,Small molecule,0.0,56.06,16.0,296.0,0.37,17.07,1,0,0,1,Y,0.31,None,None,0.37,0.37,0,MOL,-1.0,4,1,0,0,56.0262,NEUTRAL,C3H4O,C=CC=O,CC=CC=O
388,CHEMBL158237,,2-Methyl-Acrylamide,Small molecule,0.0,85.11,5.0,5.0,0.05,43.09,1,1,0,1,Y,0.45,None,None,0.12,0.12,0,MOL,-1.0,6,2,2,0,85.0528,NEUTRAL,C4H7NO,C=C(C)C(N)=O,CC=C(C)C(N)=O
389,CHEMBL274503,CYCLOPROPANECARBOXYLIC ACID AMIDE,,Small molecule,0.0,85.11,2.0,2.0,-0.12,43.09,1,1,0,1,Y,0.47,None,None,-0.25,-0.25,0,MOL,-1.0,6,2,2,0,85.0528,NEUTRAL,C4H7NO,NC(=O)C1CC1,C(N)C(=O)C1CC1
392,CHEMBL173813,,"2,3-Dihydroxy-Propionaldehyde|2,3-Dihydroxypropanal",Small molecule,0.0,90.08,3.0,18.0,-1.46,57.53,3,2,0,2,Y,0.41,12.84,None,-1.68,-1.68,0,MOL,-1.0,6,3,2,0,90.0317,NEUTRAL,C3H6O3,O=CC(O)CO,O=CC(O)C(O)C
393,CHEMBL346529,,2-Chloro-Butane,Small molecule,0.0,92.57,2.0,2.0,2.02,0.00,0,0,0,1,Y,0.43,None,None,2.13,2.13,0,MOL,-1.0,5,0,0,0,92.0393,None,C4H9Cl,CCC(C)Cl,CCCC(C)Cl
394,CHEMBL1231821,HYDROCHLORIC ACID,E507|HYDROCHLORIC ACID,Small molecule,0.0,36.46,15.0,59.0,0.42,0.00,0,0,0,0,Y,0.37,-7.00,None,0.61,0.83,0,MOL,0.0,1,0,0,0,35.9767,ACID,HCl,Cl,CCl
395,CHEMBL118671,,,Small molecule,0.0,87.12,1.0,1.0,-0.71,23.24,2,1,0,2,Y,0.45,None,6.24,-0.67,-0.70,0,MOL,-1.0,6,2,1,0,87.0684,NEUTRAL,C4H9NO,OCCN1CC1,C(O)CCN1CC1
396,CHEMBL4571094,,,,0.0,92.11,1.0,1.0,0.73,20.23,1,1,0,2,Y,0.53,None,None,0.62,0.62,0,MOL,-1.0,6,1,1,0,92.0637,NEUTRAL,C4H9FO,CCC(F)CO,CCCC(F)CO
398,CHEMBL1865594,,,Small molecule,0.0,85.07,2.0,2.0,-0.49,61.80,3,2,0,0,N,0.45,7.04,None,-0.03,-0.53,1,MOL,-1.0,6,4,2,0,85.0276,NEUTRAL,C2H3N3O,Oc1nc[nH]n1,C(O)c1nc[nH]n1
401,CHEMBL3182512,,,Small molecule,0.0,74.16,,,None,None,None,None,None,None,None,None,None,None,None,None,None,MOL,-1.0,None,None,None,None,74.0188,None,C2H6OSi,C[Si](C)=O,CC[Si](C)=O
402,CHEMBL3185538,,,Small molecule,0.0,88.07,,,-0.09,65.18,4,2,0,1,N,0.27,8.54,1.16,0.02,-0.01,0,MOL,-1.0,6,4,2,0,88.0273,NEUTRAL,C2H4N2O2,ON=CC=NO,ON=C(C)C=NO
403,CHEMBL291627,,2-Aminoimidazole,Small molecule,0.0,83.09,5.0,7.0,-0.01,54.70,2,2,0,0,Y,0.46,13.93,9.33,-0.29,-1.31,1,MOL,-1.0,6,3,3,0,83.0483,BASE,C3H5N3,Nc1ncc[nH]1,C(N)c1ncc[nH]1
404,CHEMBL3304035,,,Small molecule,0.0,90.15,,,-0.15,49.87,2,3,0,1,Y,0.23,8.58,12.70,-0.10,-1.30,0,MOL,-1.0,5,2,3,0,90.0252,BASE,C2H6N2S,N=C(N)CS,N=C(N)C(S)C
405,CHEMBL56672,,,Small molecule,0.0,84.08,,,-0.40,52.89,2,1,0,0,Y,0.32,4.51,None,-0.83,-1.76,0,MOL,-1.0,6,3,1,0,84.0324,ACID,C3H4N2O,CC(=O)NC#N,CCC(=O)NC#N
406,CHEMBL45315,,Pentan-3-one,Small molecule,0.0,86.13,6.0,6.0,1.38,17.07,1,0,0,2,Y,0.50,None,None,1.51,1.51,0,MOL,-1.0,6,1,0,0,86.0732,NEUTRAL,C5H10O,CCC(=O)CC,CCCC(=O)CC
407,CHEMBL1213482,,,Small molecule,0.0,98.1,1.0,1.0,0.65,37.30,1,1,0,1,Y,0.49,4.35,None,0.44,-2.49,0,MOL,-1.0,7,2,1,0,98.0368,ACID,C5H6O2,CC1=CC1C(=O)O,CCC1=CC1C(=O)O
408,CHEMBL9421,,N-Ethyl-Formamide,Small molecule,0.0,73.09,1.0,3.0,-0.25,29.10,1,1,0,2,Y,0.45,None,None,-0.50,-0.50,0,MOL,-1.0,5,2,1,0,73.0528,NEUTRAL,C3H7NO,CCNC=O,CCCNC=O
409,CHEMBL569461,DIMETHYLAMINE HCL,Dimethylamine Hcl,Small molecule,0.0,81.55,6.0,7.0,-0.16,12.03,1,1,0,0,Y,0.40,None,10.52,-0.19,-3.07,0,MOL,-1.0,3,1,1,0,45.0578,BASE,C2H8ClN,CNC.Cl,CCNC.Cl
410,CHEMBL302326,,1-Methyl-Pyridinium|N-Methylpyridinium,Small molecule,0.0,94.14,9.0,10.0,0.51,3.88,0,0,0,0,Y,0.41,None,None,-3.19,-3.19,1,MOL,-1.0,7,1,0,0,94.0651,NEUTRAL,C6H8N+,C[n+]1ccccc1,CC[n+]1ccccc1
411,CHEMBL279897,,,Small molecule,0.0,99.13,3.0,6.0,1.41,32.59,2,1,0,1,Y,0.30,11.64,3.61,1.17,1.17,0,MOL,-1.0,7,2,1,0,99.0684,NEUTRAL,C5H9NO,C/C=C(C)/C=N/O,CC/C=C(C)/C=N/O
412,CHEMBL102029,,,Small molecule,0.0,85.11,1.0,1.0,-1.11,50.08,3,3,0,0,Y,0.35,None,6.35,-0.74,-0.78,0,MOL,-1.0,6,3,4,0,85.064,NEUTRAL,C3H7N3,NC1NC=CN1,C(N)C1NC=CN1
417,CHEMBL1828957,,"3,5-Dimethyl-Pyrazole",Small molecule,0.0,96.13,2.0,3.0,1.03,28.68,1,1,0,0,Y,0.51,None,4.02,0.61,0.61,1,MOL,-1.0,7,2,1,0,96.0687,NEUTRAL,C5H8N2,Cc1cc(C)[nH]n1,CCc1cc(C)[nH]n1
418,CHEMBL1193587,,,Small molecule,0.0,97.16,,,0.91,26.02,1,1,0,2,Y,0.51,None,10.19,0.46,-2.13,0,MOL,-1.0,7,1,2,0,97.0891,BASE,C6H11N,C=C1CC1CCN,CC=C1CC1CCN
420,CHEMBL14688,METHYL ALCOHOL,METHYL ALCOHOL,Small molecule,0.0,32.04,14.0,34.0,-0.39,20.23,1,1,0,0,Y,0.39,None,None,-0.52,-0.52,0,MOL,0.0,2,1,1,0,32.0262,NEUTRAL,CH4O,CO,CCO
422,CHEMBL275748,TULIPALINE A,,Small molecule,0.0,98.1,20.0,111.0,0.49,26.30,2,0,0,0,Y,0.33,None,None,0.83,0.83,0,MOL,-1.0,7,2,0,0,98.0368,None,C5H6O2,C=C1CCOC1=O,CC=C1CCOC1=O
423,CHEMBL25028,METHANESULFONYLMETHANE,Methanesulfonylmethane,Small molecule,0.0,94.14,14.0,23.0,-0.34,34.14,2,0,0,0,Y,0.41,None,None,-1.30,-1.30,0,MOL,-1.0,5,2,0,0,94.0089,None,C2H6O2S,CS(C)(=O)=O,CCS(C)(=O)=O
424,CHEMBL15580,METHYLSULFANYLMETHANE,Dimethyl Sulfide|Methylsulfanylmethane,Small molecule,0.0,62.14,1.0,3.0,0.98,0.00,1,0,0,0,Y,0.40,None,None,1.22,1.22,0,MOL,-1.0,3,0,0,0,62.019,None,C2H6S,CSC,CCSC
425,CHEMBL298862,,,Small molecule,0.0,99.09,1.0,4.0,-1.57,67.48,3,2,0,0,N,0.39,6.90,9.14,-2.19,-2.31,0,MOL,-1.0,7,4,3,0,99.0433,BASE,C3H5N3O,NC1=NC(=O)CN1,C(N)C1=NC(=O)CN1
427,CHEMBL293420,,,Small molecule,0.0,99.09,1.0,1.0,-0.30,74.93,3,3,0,0,N,0.42,5.48,1.29,-0.26,-1.78,1,MOL,-1.0,7,4,4,0,99.0433,ACID,C3H5N3O,Nc1c[nH]nc1O,C(N)c1c[nH]nc1O
429,CHEMBL1255,FORMALDEHYDE,DOWLING'S|E240|FORMALDEHYDE|FORMALDEHYDE SOLUTION|FORMALIN|Formaldehyde|NSC-298885|VERACUR,Small molecule,4.0,30.03,11.0,15.0,-0.18,17.07,1,0,0,0,Y,0.36,None,None,-0.47,-0.47,0,MOL,0.0,2,1,0,0,30.0106,None,CH2O,C=O,CC=O
430,CHEMBL230163,,,Small molecule,0.0,70.09,2.0,2.0,0.32,20.23,1,1,0,1,Y,0.44,None,None,0.45,0.45,0,MOL,-1.0,5,1,1,0,70.0419,NEUTRAL,C4H6O,C=C=CCO,CC=C=CCO
431,CHEMBL14409,PROPYLAMINE,Propylamine,Small molecule,0.0,59.11,2.0,10.0,0.36,26.02,1,1,0,1,Y,0.46,None,10.21,0.25,-2.36,0,MOL,-1.0,4,1,2,0,59.0735,BASE,C3H9N,CCCN,CCCCN
432,CHEMBL9019,ACRYLIC ACID METHYL ESTER,Acrylic Acid Methyl Ester,Small molecule,0.0,86.09,6.0,6.0,0.35,26.30,2,0,0,1,Y,0.34,None,None,0.91,0.91,0,MOL,-1.0,6,2,0,0,86.0368,None,C4H6O2,C=CC(=O)OC,CC=CC(=O)OC
433,CHEMBL1470323,,,Small molecule,0.0,86.09,4.0,4.0,0.69,26.30,2,0,0,1,Y,0.35,None,None,0.43,0.43,0,MOL,-1.0,6,2,0,0,86.0368,NEUTRAL,C4H6O2,C=COC(C)=O,CC=COC(C)=O
434,CHEMBL216796,,,Small molecule,0.0,90.08,3.0,7.0,-1.55,75.35,3,3,0,1,N,0.27,8.85,7.68,-2.25,-2.51,0,MOL,-1.0,6,4,4,0,90.0429,NEUTRAL,C2H6N2O2,NCC(=O)NO,C(N)CC(=O)NO
435,CHEMBL182305,,,Small molecule,0.0,98.15,4.0,5.0,0.53,38.38,2,1,0,0,Y,0.47,None,11.49,-0.09,-2.50,0,MOL,-1.0,7,2,2,0,98.0844,BASE,C5H10N2,CC1CCC(N)=N1,CCC1CCC(N)=N1
436,CHEMBL116155,,Chloro-Difluoro-Methane,Small molecule,0.0,86.47,1.0,1.0,1.45,0.00,0,0,0,0,Y,0.39,None,None,1.41,1.41,0,MOL,-1.0,4,0,0,0,85.9735,None,CHClF2,FC(F)Cl,C(F)C(F)Cl
